"WeekCountry";"FstDose";"SecDose"
"Austria2020-53";10706.0;0.0
"Austria2021-01";52838.0;6.0
"Austria2021-02";170870.0;820.0
"Austria2021-03";187440.0;9330.0
"Austria2021-04";63436.0;35304.0
"Austria2021-05";37432.0;159786.0
"Austria2021-06";57850.0;177608.0
"Austria2021-07";127542.0;79724.0
"Austria2021-08";214446.0;42954.0
"Austria2021-09";310132.0;30442.0
"Austria2021-10";457844.0;62042.0
"Austria2021-11";383536.0;96298.0
"Austria2021-12";312928.0;187714.0
"Austria2021-13";288740.0;163238.0
"Austria2021-14";434388.0;277866.0
"Austria2021-15";557272.0;197308.0
"Austria2021-16";588462.0;121138.0
"Austria2021-17";582226.0;138842.0
"Austria2021-18";673932.0;237520.0
"Austria2021-19";644936.0;212244.0
"Austria2021-20";729634.0;363134.0
"Austria2021-21";515524.0;472118.0
"Austria2021-22";625266.0;544396.0
"Austria2021-23";595816.0;680654.0
"Austria2021-24";512466.0;685690.0
"Austria2021-25";425900.0;810106.0
"Austria2021-26";403094.0;848474.0
"Austria2021-27";304882.0;697802.0
"Austria2021-28";222394.0;628402.0
"Austria2021-29";184088.0;562998.0
"Austria2021-30";114696.0;506166.0
"Austria2021-31";113714.0;421138.0
"Austria2021-32";78026.0;287938.0
"Austria2021-33";92056.0;212254.0
"Austria2021-34";96282.0;100452.0
"Austria2021-35";98684.0;78688.0
"Austria2021-36";108392.0;65508.0
"Austria2021-37";117670.0;73458.0
"Austria2021-38";112058.0;67864.0
"Austria2021-39";88306.0;70970.0
"Austria2021-40";71110.0;80860.0
"Austria2021-41";59510.0;77120.0
"Austria2021-42";73906.0;74538.0
"Austria2021-43";107142.0;57206.0
"Austria2021-44";160322.0;66402.0
"Austria2021-45";277870.0;87886.0
"Austria2021-46";231878.0;109922.0
"Austria2021-47";181220.0;130396.0
"Austria2021-48";158072.0;186442.0
"Austria2021-49";133648.0;203090.0
"Austria2021-50";144268.0;213800.0
"Austria2021-51";70510.0;123946.0
"Austria2021-52";49090.0;104816.0
"Austria2022-01";62978.0;135126.0
"Austria2022-02";71308.0;129822.0
"Austria2022-03";58346.0;78018.0
"Austria2022-04";40858.0;65952.0
"Austria2022-05";26522.0;65678.0
"Austria2022-06";18784.0;49584.0
"Austria2022-07";11868.0;34254.0
"Austria2022-08";8218.0;23954.0
