DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-01,59983,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-02,63013,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-03,75392,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-04,84557,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-05,96717,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-06,106022,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-07,107235,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-08,100002,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-09,108444,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-10,91218,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-11,79789,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2019-12,62892,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-01,62411,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-02,61035,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-03,23684,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-04,5,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-05,32,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-06,1062,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-07,10080,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-08,12964,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-09,12981,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-10,9991,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-11,2908,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2020-12,2541,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-01,2736,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-02,2171,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-03,2796,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-04,3636,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-05,5001,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-06,12545,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-07,34623,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-08,38545,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-09,42095,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-10,36229,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-11,27669,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2021-12,18290,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-01,14284,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-02,14939,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-03,26414,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-04,42595,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-05,61839,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-06,68682,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-07,64965,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-08,62595,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-09,66689,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-10,52714,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-11,48004,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2022-12,36796,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-01,30751,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-02,35055,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-03,43386,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-04,51942,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-05,67141,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-06,76318,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-07,80782,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWG,TOT,TOTAL,2023-08,77908,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-01,168514,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-02,185802,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-03,208800,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-04,78737,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-05,52168,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-06,68116,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-07,67125,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-08,63842,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-09,60897,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-10,42241,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-11,42420,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2019-12,112032,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-01,176463,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-02,197586,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-03,77560,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-04,143,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWI,TOT,TOTAL,2020-06,493,
