YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,SK,701757,0,0,992,,2,0,0,0,0,0,0,SK,Age50_59,COM,5457873
2020-W53,SK,688658,0,0,627,,0,0,0,0,0,0,0,SK,Age60_69,COM,5457873
2020-W53,SK,4431608,0,0,4229,,5,0,0,0,0,0,0,SK,ALL,COM,5457873
2020-W53,SK,4431608,0,0,2,,0,0,0,0,0,0,0,SK,ALL,MOD,5457873
2020-W53,SK,407927,0,0,104,,0,0,0,0,0,0,0,SK,Age70_79,COM,5457873
2020-W53,SK,388502,0,0,148,,1,0,0,0,0,0,0,SK,Age18_24,COM,5457873
2020-W53,SK,283317,0,0,1,,0,0,0,0,0,0,0,SK,Age10_14,COM,5457873
2020-W53,SK,2055643,0,0,2347,,2,0,0,0,0,0,0,SK,Age25_49,COM,5457873
2020-W53,SK,2055643,0,0,2,,0,0,0,0,0,0,0,SK,Age25_49,MOD,5457873
2020-W53,SK,189121,0,0,11,,0,0,0,0,0,0,0,SK,Age80+,COM,5457873
2020-W53,SK,159879,0,0,1,,0,0,0,0,0,0,0,SK,Age15_17,COM,5457873
2020-W53,SI,711301,,,2479,,1,0,0,0,0,0,0,SI,Age25_49,COM,2095861
2020-W53,SI,43611,,,2525,,0,0,0,0,0,0,0,SI,HCW,COM,2095861
2020-W53,SI,374210,,,2,,0,0,0,0,0,0,0,SI,Age<18,COM,2095861
2020-W53,SI,302153,,,1585,,0,0,0,0,0,0,0,SI,Age50_59,COM,2095861
2020-W53,SI,280999,,,654,,0,0,0,0,0,0,0,SI,Age60_69,COM,2095861
2020-W53,SI,183561,,,320,,0,0,0,0,0,0,0,SI,Age70_79,COM,2095861
2020-W53,SI,1734767,8190,,5601,,1,0,0,0,0,0,0,SI,ALL,COM,2095861
